default,amount_of_loan,credit_rating,years_with_bank,rent_mortgage_own,income,age
0,9000,C,3,0,36000,22
1,5600,C,0,0,39000,22
0,17000,A,16,1,135000,24
1,13000,D,1,2,57500,25
1,5000,A,5,1,42082,27
0,12000,B,15,2,49536,27
0,35000,D,10,1,350000,35
1,6000,A,0,0,35000,29
0,9500,A,4,1,100000,32
0,21000,B,17,0,110000,39
0,10000,A,5,0,55000,24
1,7000,B,19,1,69600,25
0,12000,C,5,0,65000,22
1,13200,D,0,0,60000,26
0,20000,B,5,1,100000,23
0,2000,B,2,0,75000,24
1,12000,A,6,0,36000,29
0,9500,A,12,1,48152,23
0,4500,A,4,0,32000,45
1,23500,B,2,0,51600,34
0,4400,A,11,2,41520,25
0,13000,B,5,0,39000,22
1,2500,C,1,0,52180,24
0,10000,C,5,0,54996,24
0,5000,A,0,0,28140,29
1,4500,A,3,0,50000,22
1,18000,E,2,0,65000,26
1,2000,C,2,0,27600,23
0,8525,A,2,0,51600,62
1,3000,A,11,1,87000,28
0,12000,B,9,1,77000,40
1,5000,A,8,2,65000,27
0,3000,B,5,0,35000,22
0,6000,A,0,0,55182.4,40
0,2250,C,4,1,17352,22
0,6075,A,3,1,37000,24
1,8000,D,4,0,19200,22
0,12000,A,1,1,100000,31
1,16000,F,4,1,85000,31
0,1500,A,1,0,33996,23
1,13000,D,14,0,28000,26
1,10000,A,4,0,40000,25
1,25000,E,4,0,55000,41
1,8000,C,7,2,34000,27
0,1000,A,12,1,42806,23
1,8525,C,29,0,110000,30
0,11500,A,5,0,62500,24
0,35000,D,7,1,100000,23
1,14500,B,0,1,45760,30
1,12000,A,5,1,69996,24
0,6000,C,11,0,29000,23
1,12000,A,2,0,41830.08,32
0,5125,B,7,2,50000,27
0,6625,A,1,1,64000,22
1,5000,A,25,2,36000,31
0,10000,B,7,2,35000,23
0,5000,B,3,0,65000,22
0,3600,B,0,0,40000,24
0,7500,B,11,1,79000,25
1,10000,C,15,0,30000,46
0,18500,B,4,0,34300,24
1,2500,D,2,0,18000,27
0,3000,B,23,1,54000,22
0,25000,B,9,1,93600,21
0,6000,B,1,0,112000,28
0,11425,B,8,1,57000,22
0,25000,B,11,0,48000,33
0,6800,A,5,0,70000,25
0,7000,A,11,0,52000,26
1,25000,D,1,1,64000,26
0,5000,A,2,1,62000,23
1,15000,A,11,2,70000,28
0,15000,B,19,0,42000,23
1,5600,C,1,1,85000,24
1,25000,D,3,0,90000,39
0,11300,B,7,1,36000,23
0,7200,A,32,1,29000,26
0,7000,D,6,1,37000,25
1,8000,C,7,1,99220,24
0,2500,C,6,1,55000,34
0,16000,B,1,0,75000,26
0,10000,B,10,0,56004,23
0,7000,A,0,0,97600,42
0,16725,B,5,1,69638.4,27
1,5000,D,5,1,95000,23
0,9000,A,4,1,81804,33
0,10000,A,9,0,52000,29
1,10000,C,17,1,60000,26
1,3000,A,2,1,18000,47
0,10000,A,0,0,21120,32
0,15000,C,0,1,82000,28
1,3800,A,0,1,47000,29
0,8500,A,4,1,36500,33
0,15000,B,5,1,74000,32
0,5000,C,4,0,58000,23
1,1500,A,2,0,45000,30
1,25000,D,15,0,72000,25
1,8000,G,0,0,30000,35
0,3975,B,5,1,35568,29
1,15250,C,6,1,55493,26
0,4000,A,2,1,51000,26
0,30000,D,3,0,160000,61
1,7500,D,17,1,145900,25
1,12000,B,3,2,30000,26
1,6000,B,11,1,45996,37
0,12000,A,4,1,113000,23
0,14500,C,8,0,90000,33
0,4500,C,6,0,41000,23
1,5000,B,0,0,16320,22
1,35000,B,6,1,110000,30
1,18000,D,13,2,60000,27
0,10000,D,16,0,75000,26
0,5000,A,5,0,27360,22
0,20000,A,11,0,58800,23
0,4375,A,7,1,17108,38
0,9000,A,3,0,50760,26
0,6000,B,2,1,60000,21
0,2500,B,5,0,44500,27
0,12000,A,5,1,80400,24
0,4000,B,5,1,37620,28
1,3000,B,1,0,18000,23
0,12000,A,7,1,30000,23
0,5000,B,18,1,70000,26
0,5500,C,5,0,24000,30
0,5400,A,7,1,75000,21
0,1200,E,9,2,30000,25
0,24000,A,3,1,153660,35
1,30000,D,6,1,120000,39
0,9000,A,6,0,56000,24
0,15000,C,6,1,48000,29
0,10000,C,4,0,70000,24
1,5000,C,34,1,47000,25
1,25000,F,5,1,75000,28
0,9000,A,7,1,125000,27
0,1000,A,5,0,45000,24
0,5500,B,1,0,30000,22
1,11000,C,5,2,100000,28
1,3600,B,0,2,70000,23
1,2400,C,1,0,21600,23
1,19400,C,3,1,70500,32
1,9250,D,10,0,38000,29
0,6000,A,6,1,100000,58
0,15000,C,23,0,45000,23
0,25000,D,0,0,90000,28
0,6000,A,1,1,54000,25
0,9000,B,8,0,36120,21
0,3200,B,2,0,12000,32
1,2000,B,5,0,32640,24
0,7500,C,6,1,34400,27
0,8250,B,4,0,33000,21
1,10000,A,6,0,24000,22
0,12250,B,5,2,43200,28
1,4750,C,4,2,10400,27
1,10000,B,6,0,68496,22
0,16000,C,16,1,106800,24
0,13000,B,4,1,87000,25
1,1000,C,0,0,18000,28
1,14400,A,4,1,59000,21
1,18300,B,5,1,74900,24
0,15000,B,1,0,100000,24
1,5000,C,0,0,42000,23
1,7000,B,19,1,73000,23
0,7500,B,0,0,36684,41
0,7500,A,4,0,34000,29
0,4000,D,2,1,143123,24
1,12000,B,0,1,35400,21
0,10000,A,6,1,108000,27
0,10000,D,1,0,36000,27
0,15000,B,4,0,75000,23
0,6000,A,1,0,50000,24
1,15250,D,3,1,60000,30
0,15000,C,1,0,47000,23
0,2200,B,11,1,50123,28
0,6500,B,3,1,95000,54
0,5750,C,3,0,85000,42
0,15000,A,12,1,85000,24
0,9000,A,2,0,62604,25
1,35000,E,14,0,270000,27
1,4200,B,5,1,33000,29
0,8000,A,0,0,90000,22
0,14400,B,18,1,180000,25
0,6000,B,2,1,60000,21
0,5000,C,4,1,85000,40
0,5000,D,0,0,21600,25
0,10000,A,5,1,54000,34
1,6000,C,11,1,66000,29
0,4250,B,7,0,50000,22
0,6650,B,2,0,56000,24
1,10000,D,2,0,45000,23
1,7000,C,2,0,38000,29
0,20000,B,1,1,145000,32
1,20000,B,0,0,240000,32
0,16000,D,19,0,65000,29
0,12025,B,3,1,80000,36
1,20000,E,4,0,62000,21
1,4000,D,5,1,30000,31
0,8000,A,24,1,57200,21
0,6200,A,14,1,65000,30
1,5000,B,4,0,32000,23
1,3000,C,2,0,36000,47
0,18500,C,2,0,55784,25
0,3500,C,2,1,125000,29
1,8800,A,16,1,60000,31
0,4200,C,6,0,30000,28
1,7000,B,12,0,37000,23
1,1400,A,2,1,30108,29
1,8000,A,1,0,55000,22
1,5250,A,3,0,24000,23
0,6000,B,0,0,90000,30
0,18000,B,0,1,200000,24
1,1000,B,0,0,33600,54
0,14000,B,2,0,70000,25
1,25000,B,2,0,100000,25
0,9000,A,9,1,62000,29
0,10000,C,15,1,186480,28
0,6500,A,7,0,28000,26
1,7750,D,1,1,60000,45
0,9000,A,7,0,45000,22
1,11000,A,5,1,64800,24
1,2950,D,4,0,9600,26
1,2500,A,1,1,32000,25
1,15000,D,10,1,75000,25
0,1800,B,22,1,100000,35
1,5000,C,2,0,45000,22
0,6000,B,3,0,67000,27
0,15000,C,2,0,75000,27
0,20000,C,4,1,62000,29
1,1000,B,11,0,35000,25
0,9875,A,4,0,30000,22
1,8000,A,1,0,40000,30
1,13000,B,7,1,40000,23
0,12000,B,16,0,90000,22
1,10000,B,7,1,50004,35
0,25000,B,2,2,180000,26
1,10000,B,2,0,35000,27
0,10000,C,0,2,35000,29
0,8000,D,8,1,80000,23
0,13000,A,5,1,108000,26
0,5000,C,7,0,63000,23
1,7000,B,3,0,22776,25
1,8500,D,4,0,36000,22
1,6250,A,7,1,43000,24
0,12000,B,5,1,85000,24
0,8000,C,22,1,55000,29
1,1000,C,3,0,18408,51
0,11600,A,1,1,70000,40
1,2000,E,21,1,72000,39
0,10000,C,1,0,54000,24
1,4000,C,6,0,40000,30
0,15000,B,5,2,45000,28
1,3000,C,0,0,42000,23
0,8000,C,12,0,41579,25
0,13600,A,0,1,101900,24
0,15000,D,5,0,59534,31
1,6500,C,9,1,55200,22
1,11400,B,4,1,58800,29
0,6000,A,9,0,155000,30
0,8000,A,36,1,30000,25
1,1500,C,3,1,54000,36
0,20000,B,20,0,90000,26
0,3200,A,0,1,75000,23
1,2500,C,1,0,36000,31
0,4850,C,11,0,23000,22
1,3500,A,6,0,26400,21
1,25000,B,1,0,100000,25
0,12000,B,6,1,95004,56
1,7500,C,1,0,36000,35
1,25000,F,16,1,113000,26
0,10000,A,3,1,73000,24
0,12000,A,4,0,32000,24
0,4200,B,12,0,29000,26
0,7000,A,2,0,22884,26
0,8000,A,4,0,50000,23
0,7200,C,13,2,75000,26
0,3000,A,1,0,49800,22
1,7200,A,3,0,68000,23
1,9000,A,1,0,35000,29
0,6000,E,3,0,65100,22
1,10000,B,2,1,70000,30
0,21000,B,4,1,100800,24
1,1000,B,1,0,10500,23
0,3500,D,24,0,74004,26
0,35000,A,7,1,104000,29
1,12000,C,6,1,60000,22
1,4200,B,2,0,60000,23
0,3500,B,3,1,137000,26
0,2200,B,8,1,58788,35
0,5000,A,15,1,60000,26
1,10750,C,12,0,30067.2,21
1,13250,D,7,0,35000,31
0,3000,B,3,0,31200,22
1,18000,D,3,0,71000,25
1,35000,B,3,0,82000,65
0,13000,B,0,0,170000,26
1,25000,B,4,1,75000,26
0,14000,D,1,0,71700,24
0,5000,B,6,0,24000,29
1,4800,B,4,1,36000,23
1,3200,B,3,0,84000,23
1,12500,C,0,0,38000,24
0,4050,A,4,0,14400,24
0,2400,A,2,0,66000,22
0,6200,B,6,2,58000,31
0,12000,A,8,0,62000,23
1,7500,B,7,1,50000,25
1,2200,A,4,1,50000,24
0,5000,D,2,1,24000,23
0,1000,B,9,1,36000,22
1,5925,B,0,0,40000,25
1,7500,B,0,0,45000,34
0,5000,B,3,0,34900,24
0,2500,A,17,1,70000,56
0,4000,A,2,0,30000,24
1,6000,B,6,1,59000,23
0,4000,B,5,1,65000,23
0,10000,A,10,1,45992,23
0,4000,C,4,0,32640,25
0,6000,E,0,0,54000,26
0,8500,C,1,1,130000,30
0,5400,A,3,1,36000,26
1,12000,A,9,1,52000,24
0,9000,B,5,1,120000,29
0,10000,B,0,0,40000,28
0,7500,A,1,2,90000,27
0,11800,B,4,0,35000,22
0,5000,A,4,0,39000,22
1,18000,C,16,1,98260,27
0,10000,E,11,0,96000,26
0,25000,B,2,0,52000,22
0,2500,D,8,0,41500,22
0,6000,D,1,1,35000,24
0,5000,A,1,0,30000,28
1,3700,B,4,0,35000,31
0,8400,A,2,0,68000,24
1,5000,C,2,2,38000,23
0,6000,A,11,1,114000,40
0,3000,A,1,0,67500,26
0,25000,D,7,1,101000,22
1,25000,E,9,1,85000,24
0,5000,B,7,0,42000,27
1,4000,E,14,0,108000,32
1,1875,A,3,0,15204,31
0,17600,A,9,1,108928.8,27
0,2500,A,0,2,42108,29
0,9500,C,33,2,74600,28
1,25000,E,2,0,108000,25
1,9000,A,8,0,30000,26
0,10000,A,13,1,100000,30
0,6000,C,5,1,44004,28
1,2400,B,11,1,72000,31
0,13200,B,2,0,46596,25
0,20000,C,0,0,99996,24
0,9800,D,12,1,54442,24
1,10000,C,9,1,47000,22
0,3000,C,0,0,25000,32
1,10000,A,0,1,135000,28
1,15000,B,11,2,72000,22
0,1800,B,0,0,24000,24
1,12000,B,1,0,70000,24
1,25000,B,14,0,200000,32
0,14000,A,25,0,55000,25
0,7800,C,18,1,300000,26
0,8000,C,1,0,52800,24
1,8250,C,6,0,76000,25
0,1700,B,12,2,34800,24
1,8500,C,40,1,59826,26
0,4000,B,9,1,69000,28
0,8000,C,3,0,30000,26
1,13000,B,2,0,76000,29
1,25000,G,1,1,60000,29
0,10000,A,18,1,88500,26
1,5500,C,2,0,60000,37
1,20000,C,4,2,45000,27
0,1200,A,1,2,24000,31
0,6000,B,0,2,38000,30
1,10000,A,6,0,29000,22
0,17500,A,3,1,152000,26
1,9450,A,2,0,33600,24
0,4400,B,7,1,37000,34
0,6250,B,2,1,37400,36
0,10000,A,5,1,90000,27
0,10000,B,1,0,89000,31
1,5000,D,4,0,18600,28
0,6000,B,2,0,45000,23
0,2500,C,4,0,42000,23
0,5000,C,8,1,95400,26
0,8000,C,5,0,31416,25
0,4200,C,0,0,21600,23
0,7200,B,1,0,40000,25
1,10750,B,11,2,49200,26
0,10000,B,7,1,88560,24
1,1400,A,8,1,28800,24
1,5200,A,0,1,75000,25
0,4550,C,4,0,20664,23
1,5000,C,7,0,44000,28
0,4800,A,7,0,89000,26
1,2300,A,0,1,78000,24
1,5600,D,1,0,30000,21
1,12000,B,2,0,45000,44
0,2000,C,4,2,9000,23
0,9600,B,2,1,24000,28
1,3250,A,0,0,6000,29
1,10000,B,2,0,70000,22
0,14500,A,8,1,70572,23
0,2500,D,9,0,47004,26
1,5000,B,2,1,70000,33
0,12000,B,21,1,175000,34
0,5000,B,0,0,38000,29
1,15000,D,14,1,40000,22
0,15075,A,8,1,62000,22
0,24000,E,0,1,85000,28
0,14000,B,2,0,70000,25
0,7000,F,2,0,41000,22
1,8000,C,4,0,60000,22
0,2200,A,0,0,15000,25
1,7750,D,6,0,35000,23
1,7000,C,3,0,60000,45
0,9000,A,8,1,66766,24
0,9000,C,4,0,45000,28
1,6000,B,8,1,82000,23
0,32000,E,26,1,68000,35
0,4000,C,2,0,43000,41
1,20000,D,8,1,85000,25
0,16000,C,14,1,89000,22
1,14300,C,5,0,30000,32
0,2500,B,0,0,22000,24
1,3500,B,2,2,25788.36,22
0,6000,A,0,0,100000,25
0,2000,C,1,0,26496,23
1,6000,B,7,0,68065.44,26
0,5000,B,7,0,99996,28
0,4100,A,3,1,147000,26
0,10000,C,2,0,70000,28
0,14000,D,1,0,40000,39
1,3000,A,4,0,50000,23
0,24000,G,28,1,119450,27
0,8900,B,3,0,116400,31
1,6000,A,1,0,51000,29
0,17000,B,5,1,63834.24,26
0,13000,C,3,2,67000,24
0,5500,D,2,1,99670,23
1,8000,B,1,0,60000,25
1,35000,C,11,1,120000,31
1,20000,B,0,0,43000,45
0,4500,D,2,0,49200,27
0,10500,A,19,1,70000,42
1,12000,D,4,2,70000,25
0,12000,C,2,0,136000,26
1,5600,C,12,0,30000,25
1,2500,D,0,1,32000,23
1,15000,B,0,0,36021.96,22
1,7600,C,3,0,45000,25
0,15000,C,14,0,60000,23
1,20000,C,0,1,96000,35
0,7200,B,1,0,65000,29
0,7500,B,8,1,45000,31
0,9000,C,3,0,47000,27
0,8000,C,3,1,42252,24
1,18250,E,5,1,48000,24
0,4750,C,2,1,19200,30
0,5500,B,4,0,60000,29
1,20000,B,10,0,40000,25
1,7000,B,3,0,62500,29
1,10000,B,3,0,30000,23
1,23000,A,12,1,98000,27
0,8325,D,3,1,33000,23
1,30000,D,4,1,125000,30
0,8000,A,5,1,90000,26
0,11000,A,4,2,45000,24
0,14000,D,9,0,73000,35
1,2000,C,4,0,50004,36
0,10000,A,11,1,96060,23
0,14000,A,2,2,40000,33
0,5000,B,5,1,47000,31
1,8400,C,5,1,94000,44
0,14625,C,5,1,80000,25
1,2600,A,6,1,63000,34
1,1200,A,4,0,19200,35
0,11000,A,3,0,56000,23
0,6000,A,6,0,49000,23
1,24000,E,3,0,68250,22
0,18000,C,0,1,100000,28
0,5000,B,8,2,18000,21
1,4800,A,0,0,27996,33
0,7000,B,1,0,190000,29
0,6500,B,7,1,48000,22
1,11200,A,3,2,25000,32
0,4500,C,24,1,115200,26
1,1500,C,3,2,48000,30
1,5550,B,5,0,31000,22
0,10000,B,13,0,56253,27
1,4725,C,0,0,19800,26
1,24000,E,2,1,150000,29
1,8000,C,5,0,50000,23
0,3700,A,2,0,75000,23
1,6825,A,0,1,42000,27
1,21000,B,6,0,78000,31
0,10000,B,11,2,20856,24
0,12000,A,1,1,100000,31
1,6000,B,14,0,27000,25
0,15000,C,1,1,85000,26
1,10000,B,17,0,62000,26
1,8000,B,0,0,21340,35
0,15000,B,13,0,33800,21
0,12000,B,2,0,77000,26
0,10800,B,1,1,65000,23
0,2000,D,1,1,65707,25
1,10000,D,21,2,120000,36
1,8000,C,10,0,58000,24
1,10000,C,1,2,34800,28
0,7000,C,20,1,92000,23
1,15600,B,7,0,48000,36
1,7000,B,2,2,24000,21
1,12000,A,3,2,75000,29
1,6000,D,2,1,34000,25
0,3500,D,2,0,62400,25
0,7000,A,13,1,75000,24
0,16000,B,11,2,600000,37
1,11500,D,5,0,25200,28
0,12000,C,20,2,110000,30
0,17500,B,3,1,78948,26
0,7000,A,1,0,36000,24
0,17500,C,8,1,58000,25
0,4000,B,1,0,21864,29
0,6400,A,2,0,30000,23
0,14400,A,0,1,135000,28
1,2500,C,4,0,21996,29
0,7000,A,3,0,40000,24
1,5000,D,6,2,33000,31
0,2500,C,11,1,50000,25
0,6000,A,7,0,57006,31
1,10500,B,0,1,79000,27
0,6725,B,9,0,29000,37
0,3800,A,1,0,55000,23
0,5000,A,9,1,60000,27
1,10000,C,5,0,40000,26
0,7000,C,2,0,45000,43
0,6000,A,2,0,54000,29
1,4000,C,2,0,48000,24
1,10000,A,2,0,80000,22
0,5800,B,3,0,36000,27
1,2250,D,3,1,27600,30
1,6000,D,1,0,31200,21
1,3625,B,1,0,24000,26
1,5000,B,2,2,88900,26
0,12000,A,7,1,100000,34
1,1700,A,3,1,37800,34
1,13000,A,3,1,37000,30
1,5000,A,2,0,14400,23
1,9000,A,3,1,200000,31
0,11000,C,3,1,75000,23
0,25000,F,10,0,114000,37
1,20000,C,0,0,54912,24
1,25000,A,5,1,90111,30
0,10000,A,5,0,100000,24
0,7200,A,3,2,62000,39
1,15000,F,15,0,67000,28
0,4500,C,0,0,18204,25
0,10000,A,4,1,50000,29
0,11000,B,2,2,45843.2,23
0,9000,C,0,1,55000,32
1,10500,A,5,0,40500,21
0,20000,B,3,1,60000,26
0,20000,B,18,1,80000,37
1,7500,B,9,0,40000,23
1,11200,C,6,0,63800,22
0,10000,A,3,1,75000,55
0,6400,A,8,1,100000,33
1,8400,A,1,0,36000,23
1,15000,D,12,1,73700,23
0,3000,D,2,0,46750,30
0,25000,B,7,1,80000,31
0,10000,C,11,2,65000,23
0,7500,B,8,1,85000,27
1,2400,E,15,1,41760,21
1,9000,D,0,0,60000,43
0,15000,A,5,1,40000,24
0,5000,B,11,0,100000,27
0,7000,A,0,0,43000,41
1,9750,D,4,0,21600,28
1,25000,D,15,1,81000,22
0,14000,A,7,1,98000,26
1,5000,D,2,0,30000,21
1,16000,D,2,0,95000,31
0,5000,A,4,2,60000,24
0,6800,C,5,1,60635,22
0,7500,A,1,1,31200,27
0,6000,D,4,0,38000,37
0,10000,C,2,0,65000,25
0,10000,A,7,1,57600,23
0,25000,B,0,1,145000,29
0,30000,B,7,1,110000,41
0,14300,B,3,2,44390,23
1,2000,C,10,1,33000,21
1,2000,A,16,2,51996,35
0,7000,C,2,0,57996,48
1,16500,A,2,0,63504,25
0,6000,B,1,0,43000,29
1,8500,C,1,0,27050,28
1,7000,A,0,0,15090,22
1,5000,A,6,0,15000,31
0,15000,C,1,1,124800,28
1,9500,F,0,0,23040,24
1,2400,B,5,2,48000,23
0,1000,D,2,0,16000,21
1,5000,A,1,1,52500,23
1,8000,D,18,0,25000,33
1,14800,D,8,1,60000,29
1,3000,C,26,1,80000,42
1,4000,D,3,1,60000,23
0,2400,C,6,1,30000,23
1,10800,B,2,0,39996,26
0,15000,D,8,0,54996,28
1,6800,C,3,1,65000,24
1,6000,B,0,0,19200,24
0,11200,B,13,1,132000,26
1,14000,C,4,0,110000,24
0,12000,A,3,0,60000,23
0,12000,D,0,0,90000,25
1,3000,A,0,0,50000,26
0,12000,B,12,0,70000,24
0,12800,B,2,0,60000,23
0,3600,B,6,0,45000,27
1,12000,C,1,1,25000,26
1,6400,A,0,0,32000,43
0,9600,C,4,2,85000,23
1,4800,D,17,0,35000,32
0,2500,D,4,1,444000,41
1,12000,A,4,0,43000,29
0,4500,A,23,1,72000,28
0,3600,D,3,1,43000,23
0,12000,B,1,0,39000,23
0,3600,A,3,0,82300,28
1,4800,A,10,2,48000,22
1,20000,C,2,0,80000,26
0,10000,A,3,0,65520,26
1,5500,B,1,0,54000,55
0,16000,B,23,1,80000,22
1,7100,C,1,0,33000,25
1,3675,B,0,1,45000,28
1,18000,E,3,0,45000,25
0,7000,A,0,1,100000,23
1,13000,B,2,1,37000,33
0,6000,C,0,1,57600,30
0,9000,A,7,1,48800,24
1,1750,D,2,2,15000,25
0,12000,B,3,1,100000,22
1,7000,A,2,1,54000,23
0,12000,B,9,0,55200,37
0,6600,C,3,0,70000,23
0,7875,B,4,1,55680,24
1,3600,C,5,1,207000,29
0,5000,B,9,0,17220,21
0,10000,C,2,0,130000,27
1,8500,B,0,0,25000,24
0,4000,C,4,0,36000,31
1,2250,A,8,1,54000,25
0,5600,C,5,0,34444,29
0,5600,B,0,0,12000,29
0,10000,B,6,1,86000,22
0,12000,B,3,1,100000,22
0,19200,D,3,0,55000,23
0,7200,A,9,1,69000,24
0,8800,B,17,1,125000,33
1,6500,C,16,1,91200,24
0,6000,A,0,1,116700,22
0,4200,A,7,1,63000,36
1,6500,A,12,1,64800,27
1,2800,A,3,0,27000,22
1,5000,B,7,0,47496,25
0,4950,B,9,0,13296,25
1,8500,B,19,1,46500,24
1,3000,B,0,1,25000,22
1,3000,C,20,1,58000,27
1,6775,A,15,0,75000,25
1,11200,C,7,0,52800,30
0,5300,A,12,1,30929.6,33
0,30000,A,6,0,105000,29
1,6000,C,2,1,60000,26
1,25000,F,15,1,123000,28
1,1200,C,16,1,54996,30
1,3000,B,4,0,43200,51
1,20000,E,14,1,200000,26
0,11000,E,4,0,82500,28
0,4100,C,0,0,20000,23
1,11000,B,1,1,29232,24
1,12000,C,7,1,48996,22
1,14400,D,5,0,51871,24
1,16000,B,2,0,75000,24
0,12000,A,5,2,60000,40
0,18000,D,0,1,62000,23
0,15000,A,5,1,55000,33
1,14125,B,19,0,34800,33
0,10400,A,7,0,20688,29
1,5000,A,3,0,40000,39
1,10000,B,7,0,45600,24
0,9100,B,6,1,66000,35
1,10000,D,4,1,71028,36
0,15000,C,1,2,40000,21
0,10000,D,2,0,108000,26
0,6000,B,1,1,24000,26
1,5500,D,0,0,30000,31
0,3000,A,8,2,58000,34
0,7000,C,2,1,51600,22
0,6500,A,3,0,42500,31
1,16000,D,3,0,70000,20
0,3500,B,2,1,94896,33
1,14000,B,19,1,90000,26
0,1000,B,1,1,25000,34
1,4750,C,7,1,85000,32
0,4750,A,6,1,40000,22
1,8000,A,12,0,36996,22
1,7000,B,4,0,30000,29
0,3000,A,1,0,43500,24
0,6000,B,10,1,92000,31
0,12000,A,11,1,135000,24
0,4500,A,6,1,120000,33
0,4500,B,4,1,147884.76,27
1,4350,C,1,0,90000,35
1,7400,C,3,0,49995,24
1,21500,A,0,0,82000,30
1,10000,B,19,2,186000,25
0,4000,C,12,0,65499,25
1,10000,C,2,0,24000,21
1,20000,C,1,2,55000,24
1,6000,B,4,1,126000,26
0,12000,E,3,0,50000,24
0,6400,A,3,1,36000,24
0,3000,C,19,0,78000,30
0,10000,E,0,0,30000,24
0,5000,A,24,0,108000,23
1,7125,B,2,1,60000,32
0,11750,A,9,1,49000,30
0,20000,A,6,2,85000,27
0,1950,B,6,0,90000,36
0,4800,C,29,1,75000,25
0,14000,C,4,0,32500,24
0,20000,B,31,1,210000,33
1,25475,B,0,0,60000,22
0,8000,B,5,0,65000,24
0,5000,A,0,0,28140,29
1,10000,C,2,0,45000,35
1,10000,C,6,1,60000,27
1,6000,B,10,0,30000,28
0,3600,A,9,1,59000,23
0,25000,D,2,0,52000,26
0,10000,A,3,0,30000,23
1,9250,B,1,0,40000,35
0,5000,A,7,1,60000,29
1,6125,A,25,0,120000,32
0,6000,D,5,1,50000,40
0,15000,C,14,2,60000,28
0,5375,B,2,0,15360,28
1,20000,C,6,1,184000,24
1,5000,B,17,1,78000,27
0,14000,B,2,0,54000,25
1,9600,A,10,0,55000,25
0,2400,D,1,0,21600,22
1,6500,D,4,0,42500,34
0,1500,C,7,1,30000,29
0,9350,A,5,1,48500,30
0,9500,A,2,0,36000,34
1,4000,A,5,0,41000,37
0,21000,A,9,1,85000,35
0,3900,A,7,1,20112,36
1,15000,B,0,1,55000,27
0,4000,A,1,0,13200,24
1,5000,D,2,0,107028,35
1,8000,C,8,1,74400,27
0,3000,B,1,2,27600,31
0,3600,B,0,1,26400,34
1,12800,A,6,1,56000,25
0,7700,A,7,0,65000,56
1,5000,D,6,0,38000,32
0,5000,A,0,0,18000,23
1,3000,A,7,2,41235,35
0,3500,A,7,1,61440,35
0,10000,A,3,1,72000,26
0,8000,E,3,0,30000,24
1,10000,A,9,1,43700,23
1,10000,A,2,1,43200,60
1,15000,D,17,0,42000,27
1,4400,B,12,2,42000,23
0,8500,C,0,0,25000,25
0,5000,A,0,0,31404,22
0,15000,A,1,0,35000,29
0,15000,E,19,0,38000,25
1,7600,A,9,0,18000,28
1,8500,C,0,1,43000,24
1,12000,A,0,1,36000,36
1,6400,D,2,0,47000,32
0,10000,A,2,1,37000,23
0,9000,B,0,0,37500,22
0,10000,A,13,1,62000,24
0,6250,A,0,2,18000,24
1,9750,A,4,0,35000,27
1,5000,A,5,0,40800,35
1,7550,D,8,0,34560,41
0,4000,A,0,0,68000,25
0,12000,B,2,2,96000,34
0,1200,A,1,1,74000,32
0,6000,A,0,1,67000,23
1,8000,B,1,0,25000,25
0,15000,B,4,1,103363,34
1,10000,C,1,2,72000,29
1,5000,A,0,1,90000,31
1,7500,C,15,0,68844,23
0,17500,E,5,1,74100,21
0,3800,D,3,0,30004,25
0,8000,D,0,0,58000,22
0,1500,D,9,0,35004,23
0,35000,D,5,1,175000,23
0,22000,B,9,1,92000,24
1,6000,D,2,0,60000,23
1,15000,C,28,2,43600,23
0,17000,A,3,1,68250,25
0,6000,A,11,1,81000,28
0,16000,E,2,0,65000,24
0,10000,D,4,0,55000,32
0,3000,B,3,0,74250,23
0,14000,B,5,0,95000,24
1,7800,B,0,0,33000,23
0,12000,B,2,2,42240,28
0,20000,B,7,1,64049,28
1,13750,D,0,0,30000,21
0,24250,B,10,1,108000,25
1,12500,G,2,1,123000,30
0,7500,A,1,1,82000,24
0,6000,A,4,1,56000,23
0,3000,A,2,1,88668,25
0,8000,D,13,2,27048,25
1,4000,C,7,1,25200,22
0,12000,A,9,1,35000,32
0,7500,B,10,1,51500,22
0,12000,B,2,0,38500,28
0,17000,B,3,1,73000,22
1,6000,A,5,1,66000,23
1,10000,B,12,0,30000,21
0,7200,B,3,2,66600,24
1,10000,D,4,2,36000,36
0,25000,B,26,0,70000,27
0,8500,B,3,0,68000,42
1,9600,C,4,0,24000,21
1,21000,D,0,1,48000,31
1,1050,A,2,1,31200,22
0,9000,D,4,1,87000,41
1,6000,D,8,1,40000,33
0,7500,D,1,0,43260,21
0,13000,B,1,0,64000,32
1,1500,B,0,0,24000,31
0,2000,B,1,0,38000,24
0,12000,A,3,1,106000,25
0,11000,B,3,1,70000,24
0,20000,C,2,0,92000,29
1,12000,D,14,0,840000,32
1,4000,C,19,0,48804,33
1,5075,B,0,0,20000,36
0,1500,B,6,0,35000,23
0,6300,A,0,1,50000,29
0,9600,A,14,0,42000,59
0,8500,A,1,0,24000,39
1,1800,D,17,1,45600,36
1,12300,A,7,0,45000,23
0,6000,A,2,0,23198,25
1,5600,C,5,1,66000,23
0,8875,E,0,1,29124,22
1,6000,C,15,0,45000,22
0,5500,A,3,0,48000,25
1,1000,A,21,0,48000,36
1,14000,A,5,1,75000,26
1,5000,A,17,1,50000,30
